Data,precipitation-C.O.,precipitation-N,precipitation-NE,precipitation-S,precipitation-SE,surface_temperature-C.O.,surface_temperature-N,surface_temperature-NE,surface_temperature-S,surface_temperature-SE
1850-01,0.00013266296,5.411514e-05,9.949882e-05,2.6082062e-05,0.00011408655,298.53107,299.19934,298.80103,297.0561,296.63654
1850-02,0.00012074621,6.5568165e-05,0.00012207187,2.8817514e-05,0.00011832393,298.38992,299.42822,298.22418,296.59604,296.68738
1850-03,8.7983695e-05,9.7433294e-05,0.00011551846,4.1730407e-05,7.201545e-05,297.7198,298.88025,298.03595,295.53223,295.98474
1850-04,2.2477196e-05,0.00010425063,3.924176e-05,2.5650446e-05,5.1685878e-05,296.7568,298.0437,297.70148,293.16553,294.73694
1850-05,4.421433e-06,6.799669e-05,1.1650581e-05,2.4864219e-05,2.2942957e-05,294.79468,297.76224,297.30243,289.39334,293.53333
1850-06,7.604642e-07,1.377421e-05,6.016251e-06,1.2878824e-05,5.856799e-06,292.78253,297.25134,296.69147,288.26685,291.61774
1850-07,5.0641853e-07,4.5155643e-06,1.4808902e-06,7.941561e-06,3.134423e-06,293.74872,297.44702,296.6408,286.5568,291.66733
1850-08,4.8719553e-06,7.2127777e-06,2.9498202e-07,4.246467e-05,1.0118189e-05,297.16977,299.3194,297.66998,288.8249,293.99957
1850-09,3.8046128e-05,2.9215766e-05,6.7421006e-06,4.0068095e-05,4.220276e-05,299.17816,300.1419,299.99295,291.6279,294.50592
1850-10,7.309879e-05,4.528142e-05,1.0611388e-05,7.616187e-05,8.089394e-05,299.69504,299.47095,301.779,293.64432,295.90353
1850-11,0.00013004734,8.50777e-05,5.9744023e-05,3.754797e-05,0.00010387754,299.27606,299.11398,299.27368,296.42798,296.5495
1850-12,0.00013759686,6.998166e-05,3.4887147e-05,7.361269e-05,0.00013875164,298.37686,298.50195,298.74585,296.47162,296.6396
1851-01,0.00012904075,9.412969e-05,3.1826337e-05,5.9346006e-05,0.00013134135,298.0643,298.4737,299.71124,297.60333,296.7907
1851-02,0.00018263218,8.9670284e-05,9.018129e-05,2.8179673e-05,0.0001107134,297.1023,298.63623,298.86148,298.33224,296.73752
1851-03,9.337849e-05,0.00011299928,0.00012291115,3.88705e-05,7.147905e-05,297.26605,298.19934,297.71713,296.67014,296.1819
1851-04,2.348278e-05,9.881845e-05,3.658815e-05,5.0867966e-05,3.083086e-05,296.11435,297.95502,297.45795,291.72073,295.16608
1851-05,3.5015626e-06,3.4181292e-05,4.7903454e-06,5.376075e-05,8.174657e-06,294.1266,297.72247,296.7328,289.55807,293.09604
1851-06,1.5025338e-06,1.1866727e-05,4.271802e-06,1.3106042e-05,5.1217758e-06,292.71576,297.0494,296.7572,287.1969,291.6264
1851-07,1.9754837e-06,8.029385e-06,1.1647564e-06,2.954729e-05,3.5296725e-06,292.8107,297.8281,296.6245,285.71304,291.46698
1851-08,5.5458972e-06,7.3297915e-06,8.6677153e-07,1.880282e-05,2.1809547e-05,296.30933,299.2704,297.8267,287.9947,293.72397
1851-09,2.079502e-05,1.9135803e-05,2.4669002e-06,3.6173828e-05,4.4140987e-05,299.46298,300.373,300.83142,290.03485,294.88785
1851-10,7.9466125e-05,6.533567e-05,1.2452481e-05,4.307999e-05,5.9330458e-05,298.22336,299.37875,299.8896,292.90305,294.79315
1851-11,9.978581e-05,0.00010095165,3.3052347e-05,5.078366e-05,6.713692e-05,298.91156,298.7458,299.51562,295.32767,295.6967
1851-12,0.000121372286,8.6568514e-05,7.846168e-05,4.6863093e-05,0.0001078184,298.43564,298.47876,298.4509,298.02563,296.85068
1852-01,0.00010336195,9.742103e-05,5.8776044e-05,7.025617e-05,6.914288e-05,298.44897,298.21533,298.69684,299.3161,297.12262
1852-02,0.000113253234,0.00010170651,7.560427e-05,6.17767e-05,7.086668e-05,298.29892,298.58093,298.75092,296.3102,297.35294
1852-03,8.002779e-05,8.98421e-05,0.00012572894,2.4905177e-05,6.874034e-05,297.80777,298.59717,298.23822,296.10858,296.238
1852-04,1.6049606e-05,9.843662e-05,6.208813e-05,1.8583376e-05,2.492139e-05,297.27075,298.34695,297.7234,293.64493,295.07684
1852-05,1.9388926e-05,5.0143346e-05,1.4927476e-05,5.8590518e-05,1.7242153e-05,295.49197,298.06543,297.25433,290.21295,294.47562
1852-06,6.378536e-06,1.7088838e-05,2.814918e-06,1.5469896e-05,1.0316504e-05,293.20502,297.4849,296.7912,286.39102,292.18787
1852-07,1.1095809e-07,5.190751e-06,2.2087565e-06,6.657476e-06,1.2309397e-06,293.85968,297.73492,296.8188,288.60797,292.07278
1852-08,1.0391701e-05,8.493718e-06,1.5659175e-06,1.1133965e-05,1.9201205e-05,295.84543,299.00476,297.7323,288.9869,293.6477
1852-09,3.8141527e-05,1.853398e-05,3.3586343e-06,5.0554667e-05,7.086675e-05,297.17218,300.1034,301.4644,290.0582,294.8703
1852-10,5.1801202e-05,6.2793275e-05,1.9471769e-05,6.457437e-05,4.6558678e-05,298.32208,299.2322,299.93707,292.99567,295.32605
1852-11,8.229989e-05,7.910736e-05,3.874182e-05,4.758992e-05,7.6236436e-05,298.9967,298.89404,299.32758,295.36758,295.94583
1852-12,0.0001688763,7.2596704e-05,3.70609e-05,3.9537743e-05,9.263696e-05,297.89896,298.403,298.92682,297.07898,296.95566
1853-01,0.00012995936,7.360418e-05,5.4938962e-05,5.1440056e-05,0.0001238297,298.12952,298.53534,299.24612,298.22845,297.06177
1853-02,0.0001318905,9.470295e-05,8.898563e-05,2.9164046e-05,0.00012413788,297.79114,298.32996,298.72247,297.23026,296.5463
1853-03,6.467621e-05,0.00010744005,9.945429e-05,5.0882012e-05,4.414141e-05,297.85196,298.07767,297.6656,296.87836,297.34943
1853-04,5.897935e-05,0.00011595886,8.655534e-05,2.9242938e-05,2.6790378e-05,296.3638,297.89478,297.11118,294.1546,295.54565
1853-05,1.2149174e-05,6.43244e-05,9.840958e-06,3.6377478e-05,1.3085195e-05,294.21408,297.51047,296.90787,290.2549,293.7144
1853-06,1.4723577e-06,1.258805e-05,4.6178493e-06,1.6135093e-05,3.2854261e-06,292.37552,296.80664,296.14597,288.60864,291.43872
1853-07,2.3063192e-06,7.715358e-06,1.7513612e-06,2.5311852e-05,4.396421e-06,292.07977,297.27365,296.4673,286.69315,291.1576
1853-08,5.9940066e-06,9.11251e-06,7.6140117e-07,4.9207552e-05,2.9666282e-05,295.92297,299.2317,297.82556,286.82126,294.33716
1853-09,1.502571e-05,1.7205779e-05,8.9525213e-07,2.4375497e-05,2.3882723e-05,299.76028,300.38446,300.44922,291.1858,295.04483
1853-10,5.5845176e-05,7.212318e-05,8.365363e-06,5.371152e-05,5.16684e-05,297.9248,299.2766,300.88773,292.73727,294.96414
1853-11,0.000106445594,7.064852e-05,1.4325909e-05,4.0863983e-05,0.000101477286,298.8149,299.0672,300.5364,295.8492,296.06744
1853-12,0.000105730825,8.978744e-05,4.527362e-05,8.3534636e-05,0.00011208327,298.43143,298.52493,299.3783,297.04056,296.75446
1854-01,0.00014969724,4.6945817e-05,8.5605694e-05,2.9079822e-05,0.00015924216,297.849,299.1101,298.6396,297.62207,296.54535
1854-02,0.00014196459,9.0513e-05,0.00012025247,2.6543823e-05,0.00014173525,297.74762,299.1209,298.05835,296.8539,295.89664
1854-03,9.465184e-05,6.855448e-05,0.00012963056,2.3175615e-05,9.9579935e-05,297.9615,299.71774,298.3072,296.2238,296.1736
1854-04,3.5736815e-05,8.320749e-05,4.3891072e-05,6.881762e-05,1.4866746e-05,297.24374,298.95,297.86978,293.49567,295.8869
1854-05,2.4643812e-06,3.2256903e-05,8.832776e-06,1.4421625e-05,1.9278075e-05,294.3094,298.27682,297.3651,290.1545,292.8871
1854-06,2.9643777e-06,1.2851293e-05,3.941178e-06,2.799594e-05,6.850343e-06,292.78647,298.3798,297.20566,287.10437,291.69275
1854-07,3.1507383e-08,4.305971e-06,1.1027489e-06,1.4419751e-05,1.365308e-06,294.19193,299.06232,296.98224,289.62885,292.59253
1854-08,2.2041598e-07,3.4626544e-06,2.950728e-07,4.4531007e-05,3.203133e-06,298.14328,300.656,298.123,291.3161,295.2184
1854-09,8.3637215e-06,6.400175e-06,9.87156e-07,8.599278e-05,1.2471247e-05,302.30096,302.63837,302.44342,290.8946,296.59613
1854-10,4.5816116e-05,2.1393713e-05,6.2615763e-06,0.00012655865,3.7889895e-05,302.09467,301.59424,304.00806,292.98486,297.05627
1854-11,9.335663e-05,5.554075e-05,1.7945036e-05,5.64002e-05,9.996433e-05,300.55905,300.47928,300.28406,295.24353,296.47644
1854-12,0.00012777055,3.2538497e-05,3.167425e-05,6.981435e-05,9.399354e-05,299.76425,301.22626,301.0413,298.0068,297.92728
