Data,precipitation-NE,precipitation-N,precipitation-C.O.,precipitation-SE,precipitation-S
2015-01,6.106797e-05,9.807834e-05,0.00013134614,0.00010458687,4.0904957e-05
2015-02,8.611035e-05,0.00011626983,0.00016246513,0.00015177664,2.7777733e-05
2015-03,0.00010317899,0.00012885791,6.3524036e-05,6.9962625e-05,3.962981e-05
2015-04,0.00010807376,0.00011039607,2.852079e-05,2.6231495e-05,2.420635e-05
2015-05,1.0447e-05,4.693918e-05,3.1100178e-06,1.1432565e-05,1.5882937e-05
2015-06,8.9113e-06,2.5978858e-05,7.3243564e-07,4.6387586e-06,2.5409186e-06
2015-07,2.1706687e-06,1.2762207e-05,9.080355e-07,4.2286615e-06,2.2203787e-05
2015-08,2.7688452e-07,1.20207515e-05,6.753438e-08,7.158445e-07,2.336618e-05
2015-09,5.0457163e-07,2.6971898e-05,8.776046e-06,2.0172378e-05,2.4831823e-05
2015-10,1.36833005e-05,6.9163434e-05,6.830525e-05,7.2474344e-05,5.4410055e-05
2015-11,6.786294e-05,8.981368e-05,0.00012566723,0.000116976065,1.8435785e-05
2015-12,5.9423408e-05,0.00011643987,9.2380345e-05,4.593454e-05,5.8583468e-05
2016-01,8.908261e-05,8.756762e-05,0.000121771416,6.7158035e-05,7.636236e-05
2016-02,9.844361e-05,7.0098584e-05,0.00015218098,0.00010989147,5.5112178e-05
2016-03,0.00015306876,8.915478e-05,9.246018e-05,7.109245e-05,2.9676743e-05
2016-04,8.5251435e-05,0.00010755389,2.2872193e-05,3.4750417e-05,1.2860418e-05
2016-05,1.6846872e-05,6.10486e-05,3.7287523e-06,1.3867088e-05,2.5522639e-05
2016-06,5.624366e-06,2.1273234e-05,3.4775264e-06,4.471105e-06,3.5248395e-05
2016-07,3.2834187e-06,7.2290986e-06,2.6490432e-07,3.1683944e-06,7.77982e-06
2016-08,1.0621679e-06,3.3833237e-06,1.1735834e-06,6.703505e-06,5.2677242e-05
2016-09,1.2603502e-06,1.3943973e-05,2.7764092e-05,5.9786413e-05,3.7191207e-05
