Data,surface_temperature-NE,surface_temperature-N,surface_temperature-C.O.,surface_temperature-SE,surface_temperature-S
2022-08,299.25522,299.99042,298.11313,295.6973,290.68155
2022-09,301.8963,301.6897,303.0842,297.58868,292.31808
2022-10,302.01007,300.75595,300.5623,296.91254,293.638
2022-11,300.84985,299.88965,299.8443,296.3537,296.54858
2022-12,299.6662,299.30737,300.00937,297.35706,297.47284
2023-01,300.0686,299.2295,300.56982,299.81668,300.0152
2023-02,300.39093,299.3841,299.3236,299.08752,300.20947
2023-03,299.69183,300.04834,300.1177,298.4872,297.55792
2023-04,298.95673,299.05035,298.8032,296.8614,294.43033
2023-05,298.72192,298.83353,296.3185,295.07098,292.16956
2023-06,298.85648,298.8473,294.65607,293.89026,288.45816
2023-07,298.3845,298.68097,294.6124,293.39282,287.75916
2023-08,299.70538,300.2881,297.7097,295.23267,288.48114
2023-09,302.71228,302.0379,302.09866,296.674,291.66293
2023-10,305.24536,302.6905,305.43457,297.81158,294.23886
2023-11,303.26746,301.7036,302.61392,297.79916,296.3143
2023-12,301.64435,301.28036,301.98083,298.43127,298.44046
2024-01,301.31204,301.27972,300.64896,298.54343,297.85062
2024-02,301.2296,301.3798,301.3146,299.0823,298.92444
2024-03,301.2406,301.39423,301.6101,298.98727,297.04196
2024-04,300.88156,301.0299,301.0402,299.15387,295.66248
2024-05,300.94037,300.44806,296.45676,295.66193,289.7288
2024-06,299.53055,300.30136,294.2689,293.1676,288.65802
2024-07,299.86926,300.59085,295.9732,294.16647,287.8019
2024-08,301.34265,302.10834,298.8037,295.688,288.9017
2024-09,302.18646,303.62112,303.23883,296.4548,292.25677
2024-10,304.70703,301.84686,302.18683,296.08575,293.15494
2024-11,302.16537,300.6208,300.5069,296.97595,296.02444
2024-12,299.84976,299.68857,299.56833,297.1684,297.5637
2025-01,300.5467,299.52484,298.6065,297.64047,299.02063
2025-02,300.56467,299.50195,298.76596,298.26257,297.71597
2025-03,299.8931,299.84845,299.998,297.99747,296.32428
2025-04,298.5961,299.09534,298.79865,296.3017,295.05698
2025-05,298.7967,299.03162,295.67514,294.9782,290.2018
2025-06,298.2644,298.28265,293.43787,292.18744,288.44168
2025-07,297.3568,298.48282,293.97354,292.61548,288.36755
2025-08,299.18115,300.10474,297.18158,294.39478,288.70178
2025-09,302.03418,301.29633,300.1819,295.948,290.7863
2025-10,304.00024,301.3083,303.15152,296.8987,294.40793
2025-11,301.1376,299.53186,300.07806,296.99573,296.85815
2025-12,299.86322,299.1051,299.655,297.20154,299.63864
2026-01,299.99548,298.96375,299.7473,298.39047,299.04996
2026-02,300.11777,299.55817,298.81265,297.91965,299.1638
2026-03,299.5166,298.86194,298.38925,297.76855,296.39056
2026-04,298.76575,299.12427,297.49982,296.21265,293.27005
2026-05,298.77158,298.72934,294.87686,293.47345,289.51837
2026-06,298.1903,298.62445,294.41852,293.10596,289.43552
2026-07,297.40283,298.52332,294.6971,292.88782,289.32858
2026-08,298.26453,299.82,297.35733,294.62665,290.41656
2026-09,301.23016,302.06006,301.79037,296.4179,292.92096
2026-10,304.6901,302.10364,304.30518,297.0534,294.21396
2026-11,299.96298,299.7353,300.17087,296.84308,296.18036
2026-12,299.59375,299.59573,300.2593,297.6527,299.44662
2027-01,299.88922,299.43753,298.9064,297.47128,300.2247
2027-02,299.73935,299.53503,298.96408,297.58478,299.015
2027-03,300.06445,299.19836,298.8215,296.77966,297.2414
2027-04,299.31482,298.78284,298.31296,296.55182,293.742
2027-05,298.6056,298.74765,295.79828,294.02606,292.2088
2027-06,297.973,298.22,294.42084,293.2846,290.1053
2027-07,298.17328,298.89578,295.18665,293.5493,289.10294
2027-08,298.88428,299.83746,297.56772,294.3598,290.59973
2027-09,302.94833,301.2693,299.97064,295.55273,291.7505
2027-10,302.96246,301.05927,299.7741,296.2603,293.7895
2027-11,300.37204,300.34854,300.81107,296.98596,297.57336
2027-12,300.00464,299.84048,299.386,297.2155,298.42386
2028-01,299.3369,300.0373,299.1514,297.9206,298.8563
2028-02,299.35132,299.99878,299.21457,297.9903,300.40262
2028-03,300.23975,299.9333,300.29868,298.22192,298.04584
2028-04,300.1194,299.89273,298.86053,297.50214,293.73132
2028-05,299.9796,299.80664,296.22763,295.4917,291.4298
2028-06,299.37354,299.84366,295.02927,292.85715,288.43542
2028-07,299.07324,300.3531,296.1415,294.6714,290.85742
2028-08,301.16357,301.57062,297.86075,295.79803,289.0494
2028-09,304.78793,304.31036,302.8349,296.02588,291.62564
2028-10,307.7415,303.56274,301.5465,296.10687,293.04858
2028-11,303.2868,303.2019,301.52753,296.78555,295.4564
2028-12,301.0641,302.10974,301.55988,297.6882,299.39557
2029-01,300.76886,302.03094,302.46115,299.677,299.88272
2029-02,300.95,302.18427,301.0267,297.90628,300.37354
2029-03,301.30127,301.9214,303.00128,299.03326,298.38086
2029-04,301.20068,301.07367,300.84924,298.38934,295.2215
2029-05,300.8216,300.6859,298.31033,296.2342,291.50745
2029-06,301.28638,299.96637,294.46796,293.30453,287.45288
2029-07,300.63116,300.7664,296.21487,294.92398,287.60522
2029-08,300.96033,302.1349,299.36725,296.04968,290.0968
2029-09,302.90332,301.63153,303.43564,296.5665,292.3678
2029-10,303.0323,301.4403,303.45883,297.50485,293.4528
2029-11,302.74982,300.44904,300.9223,297.56204,296.10657
2029-12,299.57227,299.2617,299.80643,297.3147,298.10934
2030-01,299.9239,299.6493,300.18652,298.8977,298.41623
2030-02,299.8603,299.467,300.1409,298.54584,298.77313
2030-03,299.08502,299.2724,299.50833,297.0494,296.9777
