Data,surface_temperature-NE,surface_temperature-N,surface_temperature-C.O.,surface_temperature-SE,surface_temperature-S
1857-09,299.65875,299.573,298.73987,294.70633,293.05344
1857-10,303.03345,299.6549,301.65915,296.51093,295.70532
1857-11,299.62805,298.87225,298.81772,295.32306,296.16187
1857-12,298.39368,298.20505,298.60373,296.64438,298.82452
1858-01,298.99176,298.2613,298.58566,297.21454,297.9976
1858-02,298.44678,298.80798,298.1295,296.91385,298.09305
1858-03,298.19147,298.87918,297.70993,295.64838,296.34824
1858-04,297.9805,298.51392,297.56442,295.38257,292.62982
1858-05,297.66864,298.13632,294.77765,293.34686,290.50958
1858-06,297.2621,297.64838,292.82483,291.419,286.83426
1858-07,296.90656,298.57816,294.3978,292.71222,288.54398
1858-08,298.60626,299.3839,295.95966,293.67322,286.8029
1858-09,301.25345,300.67175,299.73138,295.05197,291.60974
1858-10,302.15216,299.70798,299.3458,295.20935,293.5263
1858-11,299.4571,298.85782,300.30963,296.03113,295.98657
1858-12,299.29675,298.51898,298.53613,296.5329,298.3263
1859-01,298.9068,298.20236,298.69302,297.00085,298.03238
1859-02,299.40012,298.44794,298.8225,297.79132,297.82278
1859-03,299.37842,298.73203,297.7069,296.1231,296.76343
1859-04,298.20746,298.3087,297.18356,295.39423,293.7523
1859-05,297.75018,297.95758,294.26154,293.23248,290.25305
1859-06,297.85785,297.4798,293.7175,292.4097,289.51865
1859-07,297.43854,298.34042,293.92773,292.52417,289.13272
1859-08,298.17572,299.7486,297.8529,294.17407,290.40887
1859-09,301.24286,301.29834,299.69443,295.16104,290.78546
1859-10,301.32733,300.123,298.25452,294.7835,292.4154
1859-11,300.34534,299.69092,299.66534,296.1967,296.41138
1859-12,299.40106,298.80472,298.60916,296.60382,297.77097
1860-01,298.5357,299.42194,298.5418,296.67487,298.76996
1860-02,298.59964,299.67297,299.31604,296.57178,297.92087
1860-03,298.54562,299.49792,298.03293,296.5391,296.50955
1860-04,297.95435,298.49036,296.459,294.82227,291.8172
1860-05,297.58868,298.07953,294.72424,293.39917,289.452
1860-06,297.59198,297.99072,293.18338,291.99057,286.62827
1860-07,297.3849,298.16812,293.9826,292.59305,287.66873
1860-08,297.88528,298.74747,295.48636,293.24255,287.40936
1860-09,299.86603,300.72418,300.4528,295.07022,291.64697
1860-10,299.70453,299.02557,300.08286,295.48825,294.00354
1860-11,298.69122,298.7882,300.00568,296.24695,295.50394
1860-12,298.53064,298.17664,299.0456,297.07025,298.22217
1861-01,298.43384,298.32635,297.86987,296.72693,298.72394
1861-02,297.2423,298.20938,297.8699,296.623,298.28082
1861-03,297.86566,298.28113,297.59604,295.8391,294.7923
1861-04,297.44186,297.95264,297.45078,295.45645,293.16702
1861-05,297.08975,297.06726,293.35422,292.52087,289.04553
1861-06,296.7765,297.40314,293.45554,292.49554,287.24603
1861-07,296.45496,297.61743,293.0003,291.79477,287.16733
1861-08,297.6759,299.06952,296.57336,293.4389,287.72214
1861-09,299.60657,300.08142,296.8521,293.91455,290.1938
1861-10,302.69736,300.03717,299.91156,295.66565,292.78528
1861-11,299.6749,298.61252,299.6566,296.73138,295.74408
1861-12,298.68533,298.34702,298.37067,296.49384,296.9714
1862-01,298.78766,298.69757,297.8327,296.24646,299.103
1862-02,299.3446,298.5665,298.5337,297.14273,298.1806
1862-03,298.0735,298.79932,297.4494,296.5448,297.03088
1862-04,297.96063,298.49713,296.7295,295.3594,294.48645
1862-05,297.9753,298.07233,294.12604,293.4279,290.62668
1862-06,297.44513,298.0967,293.30246,292.6068,288.8533
1862-07,298.11786,298.76703,294.0555,292.6934,288.12314
1862-08,298.97693,300.0548,297.36737,294.7472,290.3002
1862-09,304.2599,302.19073,300.87973,296.34766,291.4854
1862-10,305.5292,301.49042,302.47733,297.18542,292.74655
1862-11,299.92978,300.325,299.97296,296.839,296.36832
1862-12,298.84137,299.90817,299.69696,297.05182,298.2552
1863-01,299.6947,301.07336,300.17725,297.53802,299.0839
1863-02,299.45572,300.5765,299.39178,298.20905,298.1548
1863-03,299.82895,300.3518,299.48715,297.49338,296.3485
1863-04,300.7463,300.5374,298.30896,296.62067,292.44687
1863-05,300.8855,300.13718,295.80197,293.72244,288.82846
1863-06,300.46106,300.6422,294.725,292.425,288.1074
1863-07,299.60562,300.1991,294.9595,293.18182,286.81427
1863-08,299.36584,300.93347,297.14456,294.51013,288.34265
1863-09,303.39777,301.73022,302.43503,296.00677,290.98126
1863-10,303.8421,300.55237,301.99612,297.22485,292.94397
1863-11,302.16205,299.05457,299.76703,296.68286,295.7026
1863-12,299.433,298.58002,299.07465,296.99155,297.93945
1864-01,299.34027,298.4464,298.82535,298.44324,298.5169
1864-02,299.4411,298.37598,299.18036,298.76093,298.6773
1864-03,298.00262,297.93054,298.7209,298.174,296.36053
1864-04,298.5226,297.9964,296.91074,295.54034,291.5273
1864-05,297.95978,297.39008,294.43408,293.18527,289.34738
1864-06,297.34067,297.0759,293.72742,292.0491,287.21722
1864-07,296.87573,297.21533,294.01883,291.9489,287.2018
1864-08,298.5849,298.72147,297.43784,294.9842,287.40936
1864-09,302.3171,299.93365,300.8707,295.10376,291.6004
1864-10,300.99622,299.04132,298.88608,295.3153,293.30286
1864-11,298.8235,297.80975,298.7336,295.4875,295.8187
1864-12,298.31747,297.65057,298.93002,296.80005,298.00854
1865-01,298.9135,297.9417,297.954,296.8306,298.11237
1865-02,298.07544,298.07544,296.52762,296.14597,298.24786
1865-03,297.68088,298.04105,297.6521,296.81372,296.4373
1865-04,297.50827,297.73132,296.44626,294.82074,294.79663
1865-05,297.82648,297.3661,294.1004,293.1164,287.7579
1865-06,297.07324,297.09735,292.35153,291.57837,285.96933
1865-07,296.33282,297.09186,292.95493,291.92786,287.6675
1865-08,298.61426,298.6079,296.63977,294.56348,287.52917
1865-09,301.75247,299.76562,298.40512,295.03455,291.3624
1865-10,299.20496,299.1233,299.562,295.33505,293.35892
1865-11,299.2101,298.48334,299.85773,297.2104,295.67175
1865-12,297.78235,298.04968,297.74976,295.8296,297.52408
1866-01,298.81738,298.41388,298.52863,296.58484,297.767
1866-02,298.14404,298.087,297.09872,295.7713,297.01184
1866-03,297.45636,298.00568,297.93857,296.17566,295.98663
1866-04,297.50513,297.68622,296.4778,294.42062,293.5126
1866-05,297.23505,297.23416,293.21313,292.0171,289.75308
1866-06,296.3924,296.99115,292.95987,291.76703,287.32974
